Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.15306464,0.15283154,0.156,0.162623787
0.14815989,0.15115634,0.154,0.154248144
0.14745358,0.14613035,0.128,0.148889177
0.15150853,0.14842018,0.154,0.141519864
0.14802694,0.15042113,0.162,0.128825189
0.14582698,0.12629095,0.122,0.11709413
0.14166519,0.12549204,0.056,0.119292134
0.15250388,0.13598119,0.148,0.140356762
0.1509973,0.14347799,0.202,0.16857698
0.14761055,0.15675771,0.18,0.185497494
0.15793589,0.19050914,0.192,0.182902809
0.15930325,0.1839377,0.18,0.168996424
0.15826249,0.17224199,0.124,0.159650587
0.15102455,0.16311482,0.138,0.16320699
0.15628439,0.14990513,0.22,0.173065247
0.16168967,0.18665397,0.186,0.176443683
0.1622854,0.17692873,0.16,0.168976087
0.1541613,0.16975637,0.138,0.157501733
0.15100046,0.15346976,0.156,0.150086895
0.15751429,0.15859166,0.136,0.147376979
0.15046622,0.14212617,0.178,0.144053303
0.15008546,0.14108206,0.108,0.1361902
0.14925453,0.14071219,0.146,0.12598267
0.15313192,0.14700605,0.126,0.120198822
0.15049785,0.13810115,0.078,0.123877415
0.14217952,0.12576261,0.154,0.133982118
0.13669977,0.13836403,0.158,0.140494646
0.14078493,0.14213288,0.136,0.136729784
0.14325424,0.13766946,0.162,0.128015924
0.13715158,0.13819371,0.04,0.126932914
0.13387948,0.1404428,0.166,0.139242731
0.1372101,0.14124814,0.206,0.15815233
0.13386403,0.14247862,0.156,0.173620613
0.13568607,0.1572835,0.148,0.181306197
0.13623841,0.15057431,0.2,0.179732106
0.14154264,0.16651899,0.168,0.165705085
0.14589566,0.1554448,0.144,0.137813041
0.14520493,0.14893535,0.106,0.102037219
0.14451504,0.15324813,0.066,0.070616683
0.14505886,0.14978704,0.028,0.053948823
0.1414544,0.070168436,0.066,0.052641351
0.14903755,0.07888215,0.066,0.057687359
0.14799775,0.10450934,0.064,0.059005541
0.14902633,0.12502144,0.046,0.053955459
0.14469033,0.13180746,0.066,0.048935367
0.11657364,0.06527148,0.04,0.054141979
0.11836375,0.09082454,0.044,0.075041804
0.12148668,0.11500581,0.148,0.106510675
0.12226108,0.12629375,0.12,0.13529942
0.122091085,0.14618799,0.136,0.148588972
0.12666424,0.14426422,0.184,0.141614235
0.12613976,0.14055236,0.104,0.120741201
0.12786126,0.1356975,0.072,0.099803666
0.12783985,0.13229956,0.112,0.090586018
0.13050282,0.12963611,0.096,0.095456547
0.12410541,0.12799439,0.082,0.107353752
0.12135629,0.12424094,0.126,0.114729048
0.13113919,0.13231441,0.15,0.109914899
0.12697375,0.12669864,0.09,0.097383968
0.14122337,0.13611129,0.052,0.09131212
0.12108979,0.0976037,0.086,0.100495966
0.12693395,0.111037016,0.148,0.117417071
0.12526725,0.1222241,0.134,0.125830007
0.13086186,0.1304089,0.138,0.118185013
0.12635493,0.13138953,0.072,0.103075649
0.12195691,0.093185976,0.086,0.096221714
0.12492665,0.08661998,0.122,0.106599274
0.12688904,0.095506795,0.13,0.131036068
0.12751117,0.11920779,0.14,0.158105377
0.124610834,0.12952775,0.19,0.175374033
0.14174764,0.18325034,0.218,0.177348592
0.14234652,0.17410173,0.134,0.16977588
0.1388714,0.16492994,0.126,0.163231982
0.14161617,0.16354342,0.202,0.161089694
0.14267553,0.14044766,0.15,0.157326101
0.15163901,0.14615689,0.168,0.146236378
0.14962041,0.14343524,0.104,0.129925626
0.1415128,0.14125286,0.116,0.115322809
0.14440647,0.14610715,0.098,0.107345102
0.1444678,0.147321,0.164,0.107146374
0.13658257,0.10384276,0.036,0.113928822
0.13901207,0.11399879,0.15,0.123973979
0.14060615,0.1282687,0.152,0.130111393
0.13951513,0.13487695,0.124,0.127905353
0.1411035,0.13919581,0.134,0.121829697
0.12948348,0.110789396,0.07,0.120925603
0.13547069,0.119092256,0.154,0.128071819
0.13624887,0.12520017,0.144,0.136391838
0.13415453,0.13503832,0.134,0.136863667
0.13492385,0.14127311,0.14,0.127780438
0.13578852,0.13219503,0.12,0.116436211
0.13588695,0.13009271,0.066,0.111972218
0.13721782,0.1347376,0.132,0.11639438
0.1390288,0.12839994,0.166,0.12412341
0.14279506,0.1298282,0.116,0.130508764
0.12745722,0.13255551,0.088,0.136229232
0.127069,0.12719771,0.198,0.142079243
0.13180678,0.14249143,0.106,0.144891745
0.12882975,0.13545886,0.176,0.141051288
0.13017108,0.1345778,0.108,0.131309954
0.14391525,0.118679605,0.136,0.12129193
0.13955858,0.12734425,0.116,0.118151327
0.14642102,0.13367277,0.096,0.125609346
0.14689733,0.1427825,0.176,0.14062686
0.14567825,0.14899196,0.14,0.154883351
0.13902879,0.14792481,0.152,0.159733022
0.1405604,0.1455413,0.174,0.150640979
0.14157593,0.14125006,0.12,0.129755248
0.14023353,0.13945442,0.11,0.105693867
0.14121465,0.13686483,0.072,0.088919139
0.13286091,0.08700077,0.092,0.085352697
0.13852802,0.08569749,0.102,0.093672202
0.13395013,0.10037751,0.096,0.107317866
0.14014204,0.11506122,0.112,0.117982338
0.1393206,0.13374247,0.142,0.119489697
0.12826729,0.13080083,0.122,0.112322415
0.13661918,0.13121657,0.074,0.104492456
0.13403104,0.13070135,0.116,0.104840992
0.13610624,0.13151018,0.096,0.114259272
0.13976258,0.14087068,0.136,0.124253695
0.12683886,0.13343816,0.144,0.12483862
0.12819579,0.13570127,0.118,0.11453984
0.13274167,0.13204718,0.084,0.102469115
0.13657226,0.12982796,0.082,0.099788795
0.1353036,0.12630631,0.136,0.109759872
0.126098,0.12504913,0.118,0.126305625
0.13382411,0.12968534,0.12,0.140004958
0.13602725,0.13076945,0.192,0.145394078
0.1371579,0.12841746,0.148,0.145952063
0.12957643,0.12387949,0.102,0.15144208
