Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.169140029,0.163194025,0.156,0.162623787
0.161509044,0.154759561,0.154,0.154248144
0.158961713,0.148359609,0.128,0.148889177
0.158111377,0.143503415,0.154,0.141519864
0.157827523,0.139818604,0.162,0.128825189
0.158475597,0.114599552,0.122,0.11709413
0.157299134,0.102390896,0.056,0.119292134
0.156906425,0.091913242,0.148,0.140356762
0.156775337,0.082921161,0.202,0.16857698
0.156731579,0.075204021,0.18,0.185497494
0.163687205,0.191676691,0.192,0.182902809
0.158234787,0.196355266,0.18,0.168996424
0.15641236,0.199897647,0.124,0.159650587
0.155803229,0.202579758,0.138,0.16320699
0.155599632,0.204610517,0.22,0.173065247
0.178308349,0.181968759,0.186,0.176443683
0.164392478,0.189615365,0.16,0.168976087
0.159747628,0.196182502,0.138,0.157501733
0.158197266,0.201822557,0.156,0.150086895
0.157679786,0.206666408,0.136,0.147376979
0.149552501,0.146115748,0.178,0.144053303
0.154078524,0.145033398,0.108,0.1361902
0.155590045,0.14410456,0.146,0.12598267
0.156094836,0.143307459,0.126,0.120198822
0.156263417,0.142623413,0.078,0.123877415
0.127858031,0.131729842,0.154,0.133982118
0.144528322,0.137662395,0.158,0.140494646
0.15010212,0.142144472,0.136,0.136729784
0.151965749,0.145530706,0.162,0.128015924
0.152588862,0.148089025,0.04,0.126932914
0.113490111,0.132156608,0.166,0.139242731
0.137985737,0.136110539,0.206,0.15815233
0.146150587,0.139103359,0.156,0.173620613
0.148872083,0.14136869,0.148,0.181306197
0.149779209,0.143083371,0.2,0.179732106
0.169282173,0.173824306,0.168,0.165705085
0.159105242,0.16936327,0.144,0.137813041
0.155733587,0.165994699,0.106,0.102037219
0.154616545,0.16345106,0.066,0.070616683
0.154246464,0.161530334,0.028,0.053948823
0.107418646,0.0467929,0.066,0.052641351
0.134037091,0.040644999,0.066,0.057687359
0.142958693,0.035363124,0.064,0.059005541
0.145948912,0.030825283,0.046,0.053955459
0.146951133,0.026926666,0.066,0.048935367
0.114172716,0.046787011,0.04,0.054141979
0.130610435,0.045161985,0.044,0.075041804
0.13621939,0.043932807,0.148,0.106510675
0.138133304,0.043003052,0.12,0.13529942
0.138786378,0.042299781,0.136,0.148588972
0.135421498,0.151247408,0.184,0.141614235
0.135223638,0.15327142,0.104,0.120741201
0.135155965,0.154812411,0.072,0.099803666
0.13513282,0.155985652,0.112,0.090586018
0.135124903,0.156878904,0.096,0.095456547
0.119362548,0.105202991,0.082,0.107353752
0.127315716,0.112575201,0.126,0.114729048
0.130023164,0.118151539,0.15,0.109914899
0.130944844,0.122369481,0.09,0.097383968
0.131258606,0.125559932,0.052,0.09131212
0.100693398,0.092312331,0.086,0.100495966
0.117169309,0.093173017,0.148,0.117417071
0.122744102,0.093913641,0.134,0.125830007
0.124630391,0.094550952,0.138,0.118185013
0.125268636,0.095099361,0.072,0.103075649
0.106555279,0.090083751,0.086,0.096221714
0.118215121,0.080280459,0.122,0.106599274
0.122149453,0.072883191,0.13,0.131036068
0.123476998,0.067301437,0.14,0.158105377
0.123924945,0.063089615,0.19,0.175374033
0.148879847,0.184425597,0.218,0.177348592
0.134910941,0.192195645,0.134,0.16977588
0.13016557,0.198865613,0.126,0.163231982
0.128553522,0.204591251,0.202,0.161089694
0.128005895,0.209506256,0.15,0.157326101
0.138296905,0.151324864,0.168,0.146236378
0.134294156,0.146793447,0.104,0.129925626
0.132925117,0.143371861,0.116,0.115322809
0.132456871,0.140788289,0.098,0.107345102
0.13229672,0.138837483,0.164,0.107146374
0.143037081,0.110470802,0.036,0.113928822
0.135877671,0.113319396,0.15,0.123973979
0.133432537,0.115760264,0.152,0.130111393
0.132597457,0.117851765,0.124,0.127905353
0.132312255,0.119643903,0.134,0.121829697
0.13157712,0.116549759,0.07,0.120925603
0.130757594,0.112011916,0.154,0.128071819
0.130480394,0.108111867,0.144,0.136391838
0.130386633,0.104759969,0.134,0.136863667
0.130354918,0.10187918,0.14,0.127780438
0.133539322,0.116450433,0.12,0.116436211
0.131359789,0.107927364,0.066,0.111972218
0.130624515,0.10151583,0.132,0.11639438
0.130376467,0.096692711,0.166,0.12412341
0.130292787,0.093064489,0.116,0.130508764
0.124493816,0.135192372,0.088,0.136229232
0.12735104,0.138735368,0.198,0.142079243
0.128312178,0.141415527,0.106,0.144891745
0.128635494,0.14344298,0.176,0.141051288
0.128744254,0.14497668,0.108,0.131309954
0.122259715,0.120988594,0.136,0.12129193
0.127016736,0.11320255,0.116,0.118151327
0.128603671,0.107329053,0.096,0.125609346
0.129133071,0.10289831,0.176,0.14062686
0.129309678,0.099555925,0.14,0.154883351
0.13345781,0.165552524,0.152,0.159733022
0.131278697,0.174727135,0.174,0.150640979
0.130552864,0.182616545,0.12,0.129755248
0.130311099,0.18940079,0.11,0.105693867
0.130230571,0.195234682,0.072,0.088919139
0.109837673,0.079515135,0.092,0.085352697
0.122450443,0.072444901,0.102,0.093672202
0.126654771,0.067129272,0.096,0.107317866
0.128056237,0.06313281,0.112,0.117982338
0.1285234,0.060128142,0.142,0.119489697
0.132232504,0.115923004,0.122,0.112322415
0.128972578,0.113225719,0.074,0.104492456
0.12788457,0.111185919,0.116,0.104840992
0.127521445,0.109643336,0.096,0.114259272
0.127400251,0.108476769,0.136,0.124253695
0.128752122,0.130625126,0.144,0.12483862
0.126338058,0.135446708,0.118,0.11453984
0.125534001,0.139095441,0.084,0.102469115
0.125266192,0.14185662,0.082,0.099788795
0.125176993,0.143946142,0.136,0.109759872
0.127775919,0.123517597,0.118,0.126305625
0.125038013,0.13391142,0.12,0.140004958
